"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0250","............. Belgium","16.93754218","Million USD","Normal","","250","Workers' remittances received from Belgium"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0260","......7 Malaysia","12.52435955","Million USD","Normal","","260","Workers' remittances received from Malaysia"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0270","......8 Norway","11.24913053","Million USD","Normal","","270","Workers' remittances received from Norway"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0280","......9 Switzerland","5.969090061","Million USD","Normal","","280","Workers' remittances received from Switzerland"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0290","......10 Australia","90.52359732","Million USD","Normal","","290","Workers' remittances received from Australia"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0300","......11 Canada","59.79306404","Million USD","Normal","","300","Workers' remittances received from Canada"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0310","......12 Japan","4.642302948","Million USD","Normal","","310","Workers' remittances received from Japan"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0311","......13 South Africa","24.83603507","Million USD","Normal","","311","Workers' remittances received from South Africa"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0312","......14 South Korea","9.169347607","Million USD","Normal","","312","Workers' remittances received from South Korea"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0320","......15 Other Countries","91.34331831","Million USD","Normal","","320","Workers' remittances received from Other Countries"
"Country-wise Workers' Remittances","30-Sep-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3184.123961","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0010","I. Cash Flow","3138.174787","Million USD","Normal","","10","Total Cash inflow of Workers' remittances in Pakistan in a month"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0020","......1 USA","267.3275829","Million USD","Normal","","20","Workers' remittances received from U.S.A."
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0030","......2 U.K.","463.3691157","Million USD","Normal","","30","Workers' remittances received from U.K."
